text,label
그래도 바쁘면 어쩔 수 없는 거지. 나라고 이러고 싶겠어?,6
너 뭐 정서불안 그런거 있니? 그건 아무것도 아니야. 애야? 그런걸로 고백하게?,6
다 그렇게 읽지 않아요?,4
뭔데? 얘기 해줘.,5
그냥 문자로만요? 이거.. 좀 수상한데… 진짜로.. 이게.. 조심해서 나쁠 거 없잖아요. 요즘 세상이 흉흉한데.,2
"네? 무슨 근육이요? 아, 근육 있는 남자 말씀하시는거예요?",2
음... 그래서… 제가 알려드릴게요.,1
"아니야, 무서운 거 맞아! 저번에도 그렇게 말해서 속았어.",2
어린 애들을 쫓아다니나봐. 너무 무섭다.,2
"어, 그럼, 유민이가 제가 신발 선물하려고 하는지 다 알게 되는 거 아니에요? 흠, 비밀로 선물해주고 싶은데!",4
에헤! 왜 이렇게 비싸?,6
" 너 그럼,  매주 나오던 용돈 끊기는 건데?",6
 감사합니다.,2
" 저 죄송한데, 오늘 수시 보러 온 학생인데요, 대명관이 어디에요?",4
그러게요. 헬이겠네요.,6
따님 합격 축하드립니다!,7
"나는 이번에 임플란트, 세 개나 했잖아. 안에 어금니. 담배를 많이 펴서 그런가?",1
알았어. 그럼 다음에는 꼭 할머니가 직접 얘기할게.,4
 어떻게 그렇게 잘 알아?,7
됐어. 됐어. 아직 주방 치울거 많지? 그거 내가 도와줄게.,6
응. 그건 쉽잖아.,1
귀엽긴 뭐가 귀여워. 징그럽고만.,6
 그래~ 알겠어~ 그럼 엄마 혼자 밥 먹을게.,7
네.. 제 페이스대로 열심히 해봐야겠어요.,1
당신 오늘은 지연이 보러 병원 안가?,5
아 진짜? 나 방금 전에 학교 식당에서 소현이 봤는데. 어쩐지 안색이 안 좋아 보이더라.,5
"그 통장 거래 정지 되어 있단 말이야… 나 보이스 피싱에 걸려가지고, 그 통장 아예 압류 당했어.",0
잠은 잘 주무셔야죠. 돌침대를 하나 해드릴까요? 갖고 싶어 하셨잖아요.,1
"아니, 걱정돼서 그러지.  미안해…",4
지들 하고 싶은거 할 수 있게 뒷바라지 해주려고..,1
음…. 선생님은 몇 살이에요?,1
의경 안돼면 육군 가야죠.  이왕이면 편한데 먼저 쓰는 게 낫죠.,6
형 이번에 희진이 어디 미국 회사에 취직됐다며?,5
"솔직히, 우리 손주가 뭘 그렇게 쿵쿵댔다는거야?!",6
자네는 그래도 마누라랑 오붓하게 같이 지내니 좋잖아.,6
아 내가 먼저 물어봤잖아.,0
어. 더러워!,6
네 쌤. 곧 중간고사라 그것만 끝나고 연락 한 번 할게요,7
에이 선배님 왜그러세요 진짜. 저도 힘들어요. 팀장한테 쪼이지 검사들이 쪼지.,6
정말요?,4
핸드폰으로 녹음해도 괜찮으실까요?,7
아니 나는 니 여자친구를 본 적이 없다니까요? 너 여자친구 있는 건 맞아? 무슨 전설의 유니콘 아니야?,3
네?,5
아니. 그런 건 아니고….,2
응! 난 김밥 중에서 참치김밥이 제일 좋아! 엄마가 싼 거 말고 김밥집에서 산 게 더 좋아.,7
아니지. 유럽을 가보니까. 아 여기가 지구별에서 가장 살만 한 땅이구나 싶었지.,6
아니요. 저는 처음 들어보는 거 같아요.,6
이거 여자 향수 아니야?,5
그래! ,7
아저씨가 다 봤어. 솔직하게 말해도 돼.,0
너희 엄마? 너한테 연락 안 했어? 아침에 나갈 때는 밥 먹고 들어온다고 그랬는데.,5
안 한다고 안 할게. 사주면 오래 다닐게!,4
작은엄마한테 가서 물어봐.,6
헐… 아버지 엄청 화내셨겠다…,4
퇴사기념 파티라도 해야 되는데.,7
그러면 안돼. 그럼 기름을 둘러도 다 들러붙어.,4
우리 나래 무슨 일 있으면 할아버지한테 꼭 얘기해야된다?,6
뭘 봤는데?,2
너 지금 남자친구 있지 않아?,5
근데… 뱀은 악한 동물이란 말이야.,6
"아니, 어디 한 번 말 해봐. 갔어, 안 갔어?",7
이거.. 혹시 바이러스 걸린 거 아니야?,1
우리 아빠 짱이지?,7
난 그게 이해가 안돼.. 커피를 다 마셨으면 나가야지  쓸데없이 왜 앉아있는지 모르겠어,0
팬다고?,5
응. 나는 거의 다 좋아.,7
사장이 적합해서 뽑겠다는데 왜 니가 의심을 하고 그래? 가서도 지금 하던대로만 하면 돼. 달라질 거 없어.,5
그래...? 난 몰랐는데.,5
좀 쉬다 해. 땀 너무 많이 빼면 실신해.,7
뉴스에 맨날 똑같은게 나오니까 기억에 남았나봐.,7
 왜?,5
근데 왜 그러세요? 왜 일반인처럼 그렇게 낯을 가리세요?,6
 실례할게요.,1
아 그렇구나.. 오빠가 피곤해서 그런가봐요.,1
어? 저도 판교에 있는 회사 다니는데!,5
일주일치 약 드릴게요. 약 드시는 동안은 절대 흡연 하시면 안돼요. 잠깐 담배 끊을 수 있으시겠어요?,1
응... 나 결국 보고 말았어. 그 사람...,4
 안 폈다니까.,0
"동서는 민서~ 대학도 안갔으면서, 벌써 취직 준비를 신경써?",6
네. 선생님 근데 그런 것도 다 공부해야돼요?,7
진작에 때려쳤지. 두 달 전에 망원동에 작은 카페 하나 차렸다. 시간 되면 놀러 와.,1
이번에는 틀린말 한 것 같은데.,4
너는? 너는 어떤 꿈 꿨는데?,1
상윤이는 주말에 캠핑 다녀왔대. 그래서 고기도 구워먹고 새우도 먹었대.,4
파마인데 왜 머리가 길쭉길쭉해?,6
너네 아빠가 그래서 그런가보다.,3
"형이 좀… 창백하긴 하지,",2
핑크요? 화이트는 다 나갔나요?,5
"에이, 아니에요! 그럴 일은 없을 걸요?",6
나 일단 짜장면이랑…음… 고모 이건 뭐야?,5
아이고… 어쩌다 그렇게 됐어?,4
한별이 오빠 다음 달에 군대 간대.,4
아니 얘기 안했어..,0
할아버지 혹시 내가 카네이션 안줘서 그래?,6
아이스 커피예요. 드셔보세요.,1
" 어머니, 저 결혼 생각 전혀 없어요. 저 지금 바쁘니까 결혼 닦달은 나중에요.",6
그럼… 사과드리겠습니다.,6
네?,5
네. 자주 오시네요.,6
"그러니까. 막 나한테 돼지라고, 맨날 놀리고.",6
그래요? 근데 진짜 좋아하는 사람인데 얘기는 당연히 들어주는 거 아닌가?,5
여기 제 자리에요.  제가 맨날 와서 탔는데.,6
그렇지 아무래도 사과가 더 돋보이니까. 그걸 바라는 건 아니고?,7
누구라면 너가 알아?,6
"성깔을 부리진 않는데, 호탕한 부분이 있긴 하죠.",7
어떤데?,5
그러니까. 선생님이 뭔가 뻣뻣해.,7
 아니다.,1
그건 그렇지! 옛날부터 엄청 제멋대로였어. 왜 이번에는 또 무슨 일인데.,3
왜?,5
 이천? 뭐야 아무 것도 없잖아. 나 학교는.,0
아니 아무리 작아도 그렇지,3
아니…,6
왜?,5
"음.. 그니까, 시설이 잘 갖춰진 호텔을 잡아서 호텔 안에서 수영장도 가고, 부페도 가고 하면서 푹 쉬다 오는 거에요.",1
어머 왜? 무슨 일 있었어?,5
응 아니. 그 택배 온 거 받고 오느라고.,1
"만두 피를 잘 반죽해서, 안에 들은 채소랑 고기 다진 것에서 수분이 밖으로 못 나오게 해서 그런 거 같아.",7
미루는거 되는데 경험상 그냥 처음에 갔다오는 게 제일 마음 편함.,6
네. 당연히 알죠.,1
그냥 학교 앞에서 잘랐는데. 왜.,1
할아버지가 보고 있다가 무서운거 나올 거 같으면 미리 말해줄게.,7
아직 어리구나.,1
아… 네…,5
내 친구 정희 알지?,2
" 퍽퍽, 퍽퍽, 퍽퍽!",7
해인이가 착해? 해인이 어떤 면이 그렇게 착한데?,3
너 그러다가 쓰러져. 얼른 물 마셔.,2
그러자 그러자. 몸 따라줄 때 얼른 다녀야지. 늙어서 후회없게.,6
"위험해보여도, 너희 엄마가 너무 좋아 보여서. 행복해보여서. 그래서 말릴 수가 없었다. 나는 한 번도 너희 엄마를 그렇게 행복하게 해준적이 없었거든.",6
어.,7
그렇긴한데.. 음.. 어려운 것 같아요.,7
다음부터는 데려오지 마. 알았지?,0
그래서 너 지금 니가 잘했다는거야?,6
"나도, 나도 운동 열심히 해서 오래 오래 볼거야.",7
"왜, 독과 약은 그 양이 문제라는 말이 있잖아.",1
그럼 뭔데?,0
그래.,1
"야, 너무 극단적이다.",6
응. 할머니가 스타였으면 좋았을텐데.,6
이걸 진짜 술병으로 내리 칠 수도 없고. 야. 가라 가.,0
네. 저 혼자 왔어요.,1
그게 무슨 말이야?,5
그… 정책이 그래서..요.,2
"할아버지, 할아버지는 뽀뽀 해봤어요?",5
스타일링...?,5
그랬구나. 재밌었겠네.,7
인터뷰? 나를?,5
엄마가 나보고 아빠같은 남자 만나지 말라고 했거든요.,6
네. 저 되게 바쁘거든요? 이 일 끝나고도 매번 할 일이 있고요.,0
물만두도 주세요.,7
너 며칠 전에도 오만 원 받아갔잖아.,6
몰라. 궁금하지도 않아. 나는 지금 살 빼는게 더 중요해.,0
아이고. 어떡해. 둘이 사이는 괜찮아?,4
        ……….잘 처리를 해뒀습니다.,2
최저시급 맞춰서 준다고 하더라.,1
"응. 막 한자 외우게 하고, 못 외우면 종아리 때리고 그래.",6
내 남친 불러?,6
"팀장님. 오늘 진짜 회식, 한잔 딱 가시는거죠?",7
아니. 조만간 헤어지려고.,6
네 말씀해주세요.,2
 짠!,7
암튼. 그거네.,6
"사장님, 자꾸 이러시면 저도 곤란합니다.",6
경기도 그렇지만… 비수기잖아. 매년 그랬는 걸 뭐. 괜찮아 질 거야.,6
엄마 안 바쁜데? 학원차 타면 또 몇블록 걸어와야 되잖아.  편하게 그냥 엄마 차 타고 와.,7
"근데 진짜 그랬어. 엄마도 자식을 안 낳아봐서, 애기가 그렇게 생긴지  그때 처음 알았네?",7
정말 정말 죄송합니다 그럼 제가 빨리 다시 만들어드릴게요!,4
그러니까. 작년이 뭐야. 64년도 이후로 최고로 더운 것 같아.,6
 우와아앙!,1
"열이 좀 떨어지라고. 열 내리는 데에는 두 가지 방법이 있는데, 엄청 덥게 해서 땀을 빼거나 아니면 계속 차갑게 식혀 주거나. 엄마는 지금 땀을 빼야할 것 같아.",4
"뭐? 아니, 그 이세철이 말하는 거야?",1
네. 길고 넓적한거요.,5
지금 있는걸로도 잘 돌아가요. 그리고 학교에 있는 컴퓨터 있어서 노트북 쓸 일도 별로 없어요.,6
"으, 생각도 하기 싫어.",3
아빠! 오늘 우리 같이 축구하러 가기로 했잖아! 어? 일어나!,7
아 더 짜증나!,6
아니야. 근데 방금 그 죄송하다는 말이 더 아프다.. 갑자기 그건 왜 묻는데!,6
아니 지금 장난해?,0
그래?,3
 누군데?,5
저번에 청소년 아시아 게임 우승했다며! 작은아빠가 사진 보내주셔서 봤어.        축하해. 너 진짜 멋지다.,7
우리 엄마 완전 짜증나.,6
형도 운동 안 하잖아.,3
이거 뭐? 번역해 달라고?,7
오늘 어디 가는데? 남자 만나?,5
"마약을 곱게 한 것도 아니야. 지저분하게 여기저기 사고 치고, 주변 사람들 못살게 굴고. 그래서, 집에 있던 블래키 굿즈, 시디만 빼고 다 버렸어.",0
넌 몰라... 내가 회사 들어가서 이팀장 때문에 얼마나 울었는지..회사 들어가서 거의 3년을… 내가 그 사람 때문에 잠 설치고 고통받은 걸 생각하면.. 근데 그 사람이 날 좋아한다고? 그걸 알고 나니까… 더 섬뜩해… 아니.. 어떻게 좋아한다면서 그렇게 하지? 좋아하면.. 잘 해줘야 되는거 잖아.,6
할아버지. 오늘 무슨 일 있었는지 알아요?,1
오 생선까스. 괜춘괜춘.,7
"어. 아니, 고춧가루 사러 마트 갔는데 조그만거 한 봉지에 막 만원 이만원 하더라. 현주가 고민하길래, 내가 사지 말라고 했어. 엄마한테 달라고 하면 된다고.",3
아아 들어본거 같아요,1
정말? 세상에! 그건 진짜 너무 끔찍하다!,5
당연하지! 그럼 약속 했다?,7
" 지훈아, 엄마가 누누이 말했잖니.          요새는 글로벌 시대야.영어는 무조건 배워야 하는 거라고.",6
삼촌은… 음. 한수진 같은 여자?,1
그니까. 볶음국수 생각난다. 시큼한 수프도 맛있었는데.,7
당연한 거 아닙니까. 스테이크는 소고기죠.        삼촌은 가끔 당연한걸 이렇게 묻더라?,6
"뭐, 지금같이 여름에는 수영장도 가고, 계곡도 가고 하지.",0
그래. 너 그 머리 스타일부터 좀 바꿔야겠다.        촌스럽게 머리가 그게 뭐냐?,7
"아무리 그래도, 사회가 돌아가는 방식 자체가 변하는 건 아니야.",6
그래서 전학은 가기로 한 거냐?,6
아니. 그냥 애들 다 입고 다닌단 말이야. 요즘 유행이야.,6
그럼… 저.. 사실 제가 이튜버거든요… 구독! 좋아요! 한 번씩만 부탁드려도 될까요?,7
세 후시죠?,6
 네! 그럼 제가 심부름 안 가도 되는 거잖아요!,7
정말? 기계공학과는 취직이 엄청 잘 되지 않아?,5
그러니까 싫지! 거기 가면 내가 제일 어리잖아…. 사람들이 다 쳐다보고… 진짜 싫어….,6
봤지 그럼. 지금 내 눈앞에 있는데.,7
아이구. 배고프면 공부도 못하지. 많이 먹으렴.,4
"아니요. 고등학교는 검정고시로 이미 통과하셨구요, 대학교요.",7
에이… 하필이면 네 엄마가 없을 때. 내가 그 골프치러 좀 나가지 말라고 해도 그렇게 말을 안듣다 네 엄마는.,3
솔직히 말씀드려요? 네. 저는 여자가 더 낫다고 생각해요.,3
네. 믿습니다.,1
혀엉. 나 심심해. 우리 제사 언제까지 지내?,6
"너야, 눈썰미가 안 좋으니까 그렇지.",0
그래? 그럼 얼마나 더 이렇게 있어야 해?,6
컴퓨터가 갑자기 꺼지더니 다시  켜지지를 않네요…,6
"그건 그렇지. 그래서, 아예 이쪽 길로 가는거야?",5
"응, 그렇게 해 줘.",4
니가 엄마한테 말 좀 해줘라. 할머니 무서워서 못 살겠어 정말.,6
할머니 또 빨간색 바지 입고 올거잖아.,6
응. 알았어. 조심할게.,7
 그래! 대섭이. 대섭이네 처럼 갑자기 야반도주하는 사람 있으면 어떻게 해.,2
알았어. 답장 오면 알려줄게.,7
맥주 한 캔 가지고 기분 엄청 내네.,7
"선생님, 첫사랑 얘기 좀 해주시면 안돼요?",1
거기까지 갔다가 괜히 실망하는 거 아냐?,6
"와, 대박. 진짜 대박. 김모모 무슨 커피 마셨어?",5
속았지?,7
"어, 그럼...피자?",6
에이. 나도 멋진 거 신고 싶은데.,4
"응. 이모가 이모네 애기랑 노느라고 내가 창문 밖에 있었는데, 보지도 않았어!",6
바꾸면 안된다고. 까먹어서!,6
동남아나 괌? 어때. 발리도 좋고 사이판도 좋고.,5
저거 먹어보고 싶은데…,2
"예를 들면 시골에는 빈 집이 많거든. 그런 빈 집에 들어가보는거야.       한밤중에, 혼자서.",7
"아니, 지난 번 아가씨는 집주인 아줌마가 너무 간섭을 많이해서 좀 그랬다고 그러더라고.",6
뭘?,0
다육이는 꽃이 아니라 흙이잖아.,0
"네… 근데 뚱이, 빨리 찾아야 하는데. 겁이 많아서, 어디로 숨어버릴거 같아요.",4
여기 사장님도 오늘 같은 날 카페를 왜 열었겠어,3
네 선생님. 감사합니다. 제가 한 번 말해볼게요.,7
오늘 이렇게 옆에 있어 주는 것만으로도 아빠는 너무 고마워.,7
지영씨도 여차하면 얘기해!,7
"나도, 액괴 하려고 했는데.",4
그래도 어쩌겠어 우리가 지금 살고 있는걸..,6
이름도 모르겠어요 급해요..!,6
가봐. 얼른!,6
엄마! 그만해… 나 눈물 날 거 같아.,7
나 어제 한 잠도 못 잤어.,4
덕분이에요 선생님.,7
글쎄… 넌 뭐가 먹고 싶니?,6
저 정말 언제까지 참을 수 있을지 몰라요. 당장 가서 그 교회 엎어버리기 전에 빨리 우리 엄마랑 통화하게 해주세요.,0
더.,1
 아…. 재밌으셨겠네요.,4
책에 나오는데 얼굴도 모르면서 뭐가 잘생겼대.,5
뭐 특별히 힘든 건 없고?,7
너 내가 몸만 틀어도 양평이 들썩들썩해. 행동거지 조심해.,6
현준아. 고양이가 귀엽다고 무작정 데려오면 안 되는 거야.,2
 어머니가 편찮으셔요?,5
오늘은 유치원에서 뭐했어?,1
이상한가요?,5
 어휴. 아가씨가 왜 죄송해.,1
네? 심해요..? 지금 제가 심하다구요?,5
 알아아~ 왜 내 인생도 내 맘대로 안 되는거냐 오빠.,4
아 그건 좀…,4
좋았겠네~ 결혼도 할 거야?,7
좋아. 나는 깐풍기.,7
너는 무슨 말을 그렇게 하니? 내가 너네 차별 안 하려고 얼마나 노력하는데.,4
아이고. 고생이네. 무슨 식당?,4
타코요? 이 근처에 타코 파는 곳이 있어요?,5
그러니까. 같이 해보자는 거지. 너가 셈에는 참 밝으니까. 같이 해주면 이 엄마가 얼마나 든든하겠어?,3
네. 몇 년 식이에요?,7
그렇잖아. 이게 무슨 득이 있다고 몇 달을 노력해야 돼?,6
어지러워.,4
"아니, 큰 애가 요즘 회사를 옮겨서 바쁘대. 며느리도 애들 유학 준비하느라고 바쁘고.",6
저 한지훈이요!,1
그래! 정말.,6
응 방학은 잘 보내고 있어?,7
감사합니다 선배님... 정말 그랬으면 좋겠어요.,6
"에이. 왜 눈치를 봐? 사람마다 다 다른거지. 앞으론 절대 눈치보지 말고. 먹기 싫은거, 못 먹는거 있으면 꼭 얘기해.",6
어떤 회사 다녀? ,1
제주도로 갔었습니다.,4
성적에 민감할 때긴 하죠.. 이번 성적 따라서 결정되는 게 워낙 많으니까.,7
"어. 내가 전부터 유심히 봤는데, 고깃집에서 알바하는 형들은 대체로 다 잘생긴 거 같아.",2
요즘 안 그런 집이 어딨어. 평생 은행이랑 같이 사는 거지.,1
기억 나지… 그럼 안되겠다…,4
왜.,5
손녀딸을 잘 둔거야. 손녀딸이 아주 야무지대.,6
"응, 내가 술 많이 먹지 말라고 당부를 했는데, 들을런지 모르겠다.",3
나야 뭐.. 학교 다니지. 너는?,1
아.. 네 아마.,6
엄마는 튀긴 거 몸에 안 좋다고 잘 못 먹게 하잖아. 그냥 우리끼리 먹자.,6
언니는 장난도 몰라?,6
"응, 근데 이건 엄마 집이지, 내 집은 아니야.",4
 안 괜찮아.,0
금방 갈거야. 얼굴 조금만 보자.,6
"아… 그러시면 창구에서 발급 받으셔야 되는데, 보시는대로... 다들 기다리고 계셔서… 정말 죄송합니다. 조금만 기다려주세요.",6
네? 그런 거 없는데.,5
헤어져… 마지막 기회야..,6
예진씨랑...? 어...1년 반 정도?  아니다 2년 다 되간다!,2
근데 왜 저한테 또 물어보세요? 저 이제 유민이랑은 아무 말도 안 할 거예요. 유민이 진짜 나빠요. 나쁜 아이에요.,0
 뭐야. 느끼해.,2
히히. 네. 아까 놀이터에서 놀고 있었는데 이제 엄마가 거의 다 왔다고 해서 여기서 기다리고 있는 거예요.,7
"그러니까, 결혼을 하라 이거야.",6
그런게 있어?,5
알았어.. 요리 배워서 너 맛있는거 많이 해줄 게.,6
음… 앞으로 3개월은? 더 일해야돼..,6
 아 싫어싫어. 절대 안 돼.,6
치킨 어떠세요?,7
 뭐라고 해야할까…수출?,1
피곤한데 미역국까지 끓였어?,5
물이 아래로 흐르니까.,6
너네 엄마 좀 빡쎄다.,6
진심이야. 너도 금방 합격할거야.,7
"예, 감사합니다. 그것 말고는 다 좋습니다.",5
니? 자꾸 니니 할래? 내가 너보다 나이가 몇 살이나 많은데.,0
우리 애가 알레르기가 있어서요.,4
네 재은씨.,7
지금 훔치려다가 딱 걸린거 아니야. 경찰 불러?,0
"그치만 조상님들은 옛날 사람이라서,       피자나 치킨은 먹어보신 적이 없을거야.",6
괜찮아요. 그냥 한끼 안 먹으면 괜찮을 것 같아요.,7
"아니 오른쪽이요. 오른쪽, 오른쪽.",5
당연히 가야지. 우리 아들 운동횐데.        이미 회사에도 월차 썼어.,5
제가 몰랐네요. 죄송합니다.,1
니가..? 왜?,6
그러게. 결혼한다 그러면 왠지 뺏기는 기분 들 것 같다니까.,6
"안 좋다기보다, 분위기가 좀 그래요. 서로 무관심한 것 같기도 하고, 무기력한 것 같기도 하고. 말을 잘 안해.",4
엄마. 뭐봐?,7
