,label,text
78,7,근데 또 그런 건 기도가 안 먹히더라니까?
79,6,고장난 시계를 누가 사 가니?
80,4,"흠, 그게. 나 사실… 결혼하고 싶어서."
81,7,"자기, 전생에 왕족이었어."
82,6,"군대를 이끌고, 우리 나라로 쳐들어왔다고.       그리고 우리 나라를 식민지로 만들었잖니."
83,7,그래 해줄게. 티케팅 해주면 뭐 해줄래?
84,3,넌 백수처럼 집에만 쳐박혀 있으면 지겹지도 않냐?
85,6,또 경마장 들락거리나보지.  단기 알바같은 거 없나.
86,7, 봐서~
87,4,"이유 있지, 왜 이유가 없어."
88,0, 하아.. 길이 왤케 가팔라.
89,7,오. 땡큐 땡큐. 있다가 만원 줄게.
90,0,말조심해라. 쳐마시다니. 어제 한 두 병밖에 안 마셨는데…
91,7,"예, 사부인께서두 가내 두루 평안하시죠?"
92,5,뭐 칠십억? 그런 애들은 방음소년단 같은 애들 아니야?
93,7,그래.
94,0,됐어. 기철이가 진짜 판사되기만 해봐. 자네한테 콩고물 하나 떨어지나.
95,0,나도 내 며느리를 놓치고 싶지 않았다 이놈아
96,1,교수님들이 다 그렇지 뭐. 참신한 교수님이 어디있냐?
97,6,어휴.. 더워. 여기 은행은 에어컨도 시원치 않네..
98,5,네? 아니요. 전혀 그렇지 않습니다.
99,7,"그건 그렇고, 엄마 생일 때 뭐 해줄래?"
100,7,효성이.
101,7,응.
102,5,그럼 성경에 대해서도 알고 계신가요?
103,7,"모르겠어요. 저는 평소에 잘 때도, 제 머리카락을 만지면서 자요."
104,6,찐다 쪄.
105,4,응. 감기 걸리면 엄청 춥잖아. 근데 실제론 엄청 더운거지. 그래서 여름에 감기걸리면 덥기도 하고 춥기도 해서 엄청 힘든거야.
106,0,저희는 이거 환불 못해드립니다. 돌아가세요.
107,0,식단 조절에 비결이 어딨어요. 적게 먹고 운동하는거지. 지금 30명째 식단 얘기만 질문하시니까. 답답해서 그래요. 영화는 보고 오셨어요?
108,0,아 좀 그만해!
109,4,"누나가 그걸 얘기했어요? 아 참, 누나도 주책이네.  뭘 그런 걸 아버지한테 쪼르르 와서 얘기하고 있대."
110,7,저 얼마전에 실버버튼 받았습니다. 헤헤.
111,5,거기보면 사위들이 장모님 엎어주려고 하는 장면 있잖아. 나는 거기서 그냥 두 손 다 들었어.
112,5,"네? 대,대학원이요?"
113,5,관점?
114,2,"참, 이번 테마파크 투자건은 어떻게 처리할까요?"
115,5,그래요? 어머… 요즘 학부모들 무섭네요.
116,0," 위급할 때 쓰라고 준 카드로… 현질도 하고, 친구들한테 밥도 사고, 여자친구한테 선물도 사주고? 도련님은 좋겠네요. 돈 그렇게 펑펑 쓸 수 있어서. 나도 그렇게 못 쓰는데."
117,6,그건… 그것도 이유는 엄청 과학적이고 어려운 이유야. 그냥 그렇게 알고 있어. 막 파장이 어쩌구 저쩌구 해서 그런거야.
118,0, 말을 뭐 그렇게 하냐?
119,0,니가 쌤한테 나 일렀냐?
120,7,"방금 음식물 쓰레기 버리고 오는 길에, 동네 할머니를 만났어."
121,5,떡볶이? 그래! 요즘 애들이 먹는거 할머니도 좀 먹어보자.
122,6,"응. 남자가 삼 초 이상 거울 보면, 그게 이상한 거야."
123,1,그냥... 너무 많아서 다 얘기할 수도 없어.
124,2,갑자기 왜 그런 생각이 들었어?
125,2,"아, 하필 분홍색 꽃무늬 우산으로 갖고 와 버렸는데... 이거 괜찮을까? 우산 보고 내 이미지가 깨지면 어떡하지?"
126,3,"언니 여행 갔을 때, 승윤이 만나러, 그 집 갔는데 승지 언니, 집에 있었거든."
127,1,아빠 어제 귀신 본 얘기 나 해주면 안 돼?
128,4,그건 또 그 때가서 생각하지 뭐. 지금 당장 눈 앞에 있는 것부터 처리하고.
129,6,중국은 지난 겨울에도 갔잖아. 또가?
130,7,응. 삼계탕 먹으러 갈까?
131,0,싫어. 치과 안 갈 거야. 양치 했어어 했어!
132,2," 아니, 아무 것도 아니에요."
133,7,너 지영이랑 사귀고 싶으면 이번에 공포체험을 활용해 봐.
134,6,막 제 어깨도 토닥여 주시고… 커피도 사주시고 했잖아요.
135,7,할아버지. 할아버지도 6.25전쟁 참전은 하셨어요?
136,7,아니야. 요즘 어때. 밥은 잘 먹는거야?
137,6,사실…. 그거 피... 맞다.
138,3,사장님 덕분에 세상에 대해 많이 알아갑니다! 제 돈 24만원 돌려주세요!
139,2,빨리 좀 부탁드려요..!
140,1,그래? 아무 돈도 안 들어왔는데...
141,0,너 지금 일한지가 몇 년인데 아직도 차 살 돈이 없어?
142,6, 둘이 몰래 사귀고 그런 거 아니지?
143,3,줍고 가. 니 입에다가 쳐 넣기 전에.
144,1,"친구가 나쁜 행동을 했다고, 지우도 나쁜 행동을 하면 안 돼.        그러면 친구랑 똑같이 나쁜 사람 되는거야. 알았지?"
145,5,아기고양이 어디서?
146,6,아.. 진짜 많이 안썼는데 이상하다…. 왜 그랬지…?
147,3,뭘 알아보고 있는데?
148,6, 아 왜.
149,7,"아니 아직. 너 기다리고 있었지. 뭐, 먹고 싶은 거 있냐? 오랜만에 집에 왔는데, 너 먹고 싶은 거 먹자."
150,6,똑부러지고 똑똑한 애들도 가끔보면 희안한 데서 은근히 맹한 데가 있더라고.
151,6,내거는 오래되서 게임이 안 돌아 간다고…
152,6,순 강도들이야.
153,4,나는 기억이 안 나. 나는...너희 엄마가 나한테 소리지르던 것 밖에 기억이 안 나.
154,5,아 정말요?
155,4,그래. 들어가봐.
156,5,세상에. 점집에서 그렇게 말하면 정말 찜찜하겠다.
157,4,그냥... 미안해서 그러지.
158,4,엄마 아빠는 둘 다 바쁘세요.
159,2,아 뒷자리에 아이가 있었어요.
160,0,하아 참. 재수가 없을려니까 별 이상한 게 다 난리네.            
161,5,한약 먹어?
162,4,비싼 등록금 다 내고도 듣고 싶은 수업을 못 듣는다니 억울하겠네..
163,7,"그런가봐! 우리 준호, 수진이 이모 결혼식에 뭐 입고 가지?"
164,6,그래. 근데 거기 매니저 맡아주기로 한 친구가 사정 때문에 일을 못하겠다고 하네? 그래서 준우 니가 거길 좀 맡아주면 어떨까 싶은데...
165,7,나도 호박고구마를 좋아하는데! 현우가 할아버지랑 입맛이 비슷하구나.
166,2,"아니요, 9번이랑 10번은 답이 똑같애서 맞았어요.  근데 그 뒤에는..."
167,2, 좋긴한데. 나 헤어진지 얼마 안되서…
168,6,안 돼. 다섯 시간은 너무 길어. 하루에 두 시간만 보자.
169,7,네. 너무너무요. 그래도 체육 수업은 좋아해요.
170,6,됐어! 절대 안돼.
171,3,엄마는 맨날 바르는데?
172,5,뭐?
173,5,아예 안 튼다고? 그럼 어떻게 앉아있어.
174,5,음… 그랬었나.
175,6,"할아버지, 폐지 좀 그만 주우시라니까요."
176,0,누나 지금 어딨어? 다시 갔어?
177,6,"우리가 너 편의를 최대한 봐줄게. 월급도, 넉넉하게 줄게."
178,0,핸드폰 들고 오려다가 도둑이라도 만나면 어떡해..?
179,7,어! 길에 막 떨어져있어!
180,6,알았어.
181,7,네. 완전 턱이 브이라인이에요.
182,6,아 너무 하잖아요.
183,5,너 옷이 그게 뭐야?
184,5,무슨 드라마에 나오는 집 같애.
185,1,아… 형이 철봉을 좋아해서… 굳은살이 배겨서 그래.
186,3,몰라… 이렇게 계속 떨어지면… 내가 버틸 수 있을지 모르겠어….
187,1,"어, 그랬는데?"
188,2,왜?
189,7,근데 하담이는 그냥 예쁘지 않나? 누가 봐도?
190,6,"고마워요 엄마.  지성이 요즘 8시쯤 잠들어서 통잠 자니까, 재우기만 해주면 돼요.  씻기는 거랑 먹이는 건 다 해올게."
191,0,그 쪽이 와서 받아놓고… 지금 내 탓하는거에요?
192,7,얼만데?
193,0,"아니, 엄마 아빠도 그만 하시라잖아요. 용돈도 있으신데  왜 자꾸 위험하게 도로로 리어카를 끌고 나가세요."
194,4,그것두 기본 실력이 따라줘야 가능한 일이죠~  아유 우리 세희는 긴장도 안 했다간 시험지에 장대비가 내릴 거에요.
195,6,헐. 난 반대.
196,4,어떻게 그렇게 큰 일을 지금까지 숨겼는지 정말. 나는 정말 배신감 느낀다.
197,7,저 사진 한장 찍어 줄래요? 남자 친구 보여주게.
198,7,그래 꼬맹아. 다음부턴 학원차 꼭 타고 가!
199,7,칭찬 때문에 힘이 나네요. 여기 커피 나왔습니다. 맛있게 드세요!
200,7,"어. 그 전에 말하면 결혼하면 나가라부터 시작해서,  서운하다 온갖 공격 다 들어올테니까 준비 다 하고 선공격 날려야지."
201,5,아니. 이모 아가랑 놀고 싶은데.
202,1,"네. 저도 갑자기 나타난 애가  제 걸 뺏으려고 하니까, 어이도 없고 화도 나잖아요."
203,1, 안녕하세요. 오늘 이사하기로 하셨죠?
204,0,뭐하는 거예요 지금? 저 모욕하려고 불러 내신 거예요?
205,5,"너, 지금이라도 늦지 않았다? 백세인생에 아직 반 밖에 안 온거야."
206,7,"고모, 우리도 강아지 기르면 안돼?"
207,6,그럼 어쩌실 건데요?
208,7,향초 중에 이 라즈베리 향이나 레몬 향 한 번 맡아보시겠어요?
209,7,누가 더 나이 많아?
210,3,몰라. 큰엄마가 만나자고 하시네.
211,6,쌀 통이라고 하면 되지 왜 어려운 말 써?
212,1,중 짜리 시키면 되겠지?
213,2,자꾸 할머니 말 안 들으면 망태기 할아범이 현아 잡아간다?      그러면 이 할미도 할 수 있는게 없어.
214,4,그랬나..? 미안해…
215,5,선생님 그런데 이 시간에 이런 동네에 계시네요?
216,7, 고모 여기!
217,1," 엄마, 그 할머니 대단한 사람이야. 왜 그런 말을 하고 그래 엄마 답지 않게…"
218,7,"아저씨, 노력 진짜 좋아하시네요."
219,6,뭐 같이 먹으면 살찐다고 먹지 말라고 하고.
220,7,시험 잘 볼게요. 나 요즘 공부 진짜 열심히 하잖아. 놀이공원 딱 하루만 다녀와서 다시 엄청 열심히 할게!
221,6,음 … 그래.. 알았어. 그리고.. 또 어떻게 했는데.
222,6,"아니. 사원들끼리 주고받은 메시지가 문제인데, 어떻게 개인적으로 해결을 하죠?"
223,0,오빠가 아니면 그럼 누구야.
224,0,에휴 넌 누굴 닮아서 이 모양이냐.
225,2, 저 그럼…15분 뒤 세 시에 나가 보겠습니다.
226,6,아버지… 아버지 지금 저한테.. 뭐 숨기시는 거 있죠….?
227,6,아침에?  아침에 어떻게 고기를 먹어.
228,6,밥을 잘 먹고 다녀야 할텐데. 먹는건 잘 드시고?
229,3,아 됐어 됐어. 나 치킨 시켜 먹을거야.
230,6,에휴… 애초에 돈을 빌려 준 내 잘못이다.
231,5,할머니 내가 뭐가 말랐어~
232,5,왜? 왜 그렇게 싫어해? 민지가 얼마나 속상하겠어…
233,0,"아, 남이야 열사병을 걸려 뒈지든 말든 냅두고 가라니까."
234,0,딱… 죽지 않을 정도만… 패고 싶어요…
235,7, 여기 먼저 서명해 주시고.
236,7,아이구. 그랬나보다~ 우리 혜민이가 할머니 닮아서 이렇게 똑똑한가보다~
237,5,생리 싸고 오는 거 아니야? 화장실가서?
238,6, 예.
239,7,믿고 맡겨 주시면 최고의 품질로 해 드리겠습니다.
240,7,그만큼 간단하다는 거지. 어때? 할머니가 지금 한 번 설명해 줘 볼까?
241,5,아 그러시구나…
242,0,그래! 그게 내 직업이다!
243,6,그럼. 그게 밖에서 일하는 것 보다 훨씬 힘든 일이야.
244,7,근데 혜성이 벌써 말을 하면 말이 빠른 거지?
245,6,좋은 사람인 거랑 부정 행위랑은 별개지. 여기가 고등학교도 아니고 대학교인데… 공과 사 하나도 구분을 못 하고.
246,6,뭐? 그런걸 엄마랑 같이 봤단 말이야?
247,1,"형, 나 벌써 시작되나봐."
248,7,이모가 언제 맨날 놀리기만 했어? 이렇게 예뻐하기도 했는데.
249,6, 요강이 뭐에요?
250,5,배달사고가 났거나. 다른 집으로 갔거나. 택배기사가 착각했거나… 뭐. 당연히 오류도 나겠지.
251,7,아빠 친구가 엄마를 소개 시켜 줬다는 뜻이야.
252,5," 여기, 이 사람 엄마랑 닮지 않았어요? 엄마 중학생 때인가?"
253,5,무슨 과제? 너랑 나랑 팀이라고? 난 처음 듣는 소린데…?
254,7,알아. 나도 마음 단단히 먹었어.
255,2,아.... 못 하겠어.
256,4,"잎 만 솎아서 괜찮아. 마셔봐. 마셔보고, 맛 어떤지 알려줘."
257,5,어? 왜 그러세요 교수님? 무슨 일이에요?
258,2,왜 싸운거야? 막 옷이 찢어지고.. 너무 과격하더라.
259,1,너는. 아빠 닮았지.
260,6,나는 안 가지.
261,6,안 먹어봤는데? 일단 냄새가 구리잖아.
262,3,"제가 엄마라고 부르고 싶어서 불렀겠어요? 당신이 엄마라고 해야, 그제야 돌아보니까,  토나오게 싫지만, 돈이 필요하니까.  빨리 이 집에서 독립하려면, 시험에 합격하는 길밖에 없으니까,  그러니까 부른 거에요."
263,5,아 맞다. 할머니 천재다.
264,4,"한 집에 살면서 아무 문제도 없이, 아무 대화도 없이 사는 거. 그게 문제인 거지."
265,4,아니요. 한 번도 안 해봐서. 그래도 알려주시면 금방 잘 할 수 있어요!
266,4,"그렇습니다. 저희가 조사를 한 결과, 한 할아버지 분이 쓰러진 근명군을 구해다 양자를 삼으셨어요. 근명 군의 당시 이름도 나이도 말하지 못하는 상태였기 때문에,  새 이름을 붙여 주시고, 아들 삼아 키우셨다고 합니다."
267,2,"그런건 아니지만은… 아유, 걔는 왜 꼭 글을 써도 그런 것만 쓰는 지 몰라."
268,3,학원 이름이 뭐지?
269,1,점심은 먹었어?
270,4,너도 잘 할 거야. 일단 돈을 잘 벌면 돼. 그러면 돼.
271,5,"아, 맞다. 그랬었지. 너 기억력 좋다?"
272,7,그렇죠?
273,4,"그렇지. 누님들, 첫째 누님이랑 셋째 누님이랑 잃고. 넷째 형님도 잃고.  그런 거밖에 기억이 안 나지 나는."
274,3,네. 형 우주로 날아갈 거 같앴는데. 엄청 슝슝 탔어요! 근데 형 눈물이 비처럼 막 날렸어요.  진짜 재밌었는데.
275,6,"당면만 들어간 순대, 그거 생각했지?"
276,1,무슨 일이 있었어?
277,0,내가 음식을 하라고?
278,1,그거 뭐야? 나도 좀 줘 봐.
279,7, 네.
280,6,성의는 성의고 맛은 맛이지.
281,6,뭔가 쿰쿰한 맛이 나는데?
282,3,아.. 내가 왜 사과를 해?
283,7,그래서 내가 아빠 지갑이랑 차키도 가지고 나왔거든?
284,5,알바? 무슨 알바?
285,6,뭐가 그렇게 힘들어?
286,4,어떻게 해야 경쟁력을 가질 수 있을까요?
287,6,"아! 그만하세요. 정말. 그럼 이게, 꼰대지. 달리 뭐겠어요?"
288,4,에이 그러지 마. 그래도 성인인데. 그 정도 프라이버시는 있어야지.
289,0,"솔직히 말해봐. 몸이 좋지 않은 현 상태와,  지금 풍겨오는 이 냄새, 알콜이 분해되는 이 냄새가 대체 어떤 연관성이 있는지."
290,7,네. 뭐 찾으시는 거 있으세요?
291,5,괜찮은데?
292,0,근데 왜 그만 안했어. 아진이가 그만하라고 하면 딱 그만 해야지.
293,2,제가 다음 주까지는 어떻게든 꼭 마련해볼게요. 정말 죄송합니다.
294,4,그랬구나. 나도 그때 정말 힘들었는데. 잊을 수 없는 기억이지.
295,1,네? 네. 저 203호요.
296,1,그치? 이게 누구꺼더라… 아! 그 대학병원 앞 까페 알지?
297,6,있지… 오늘 할아버지가 아주 창피를 당했어.
298,7,제가 커피를 너무 좋아해서. 늘 좋은 원두를 두고 있거든요. 지나가시다가 언제든 커피가 고프시면 들려주세요.
299,3,별로 이기만 하면 다행이지. 기분이 나빠. 기분이.
300,4,어.. 오늘은 안 와도 되는데.
301,5,"그래? 아니, 어떻게 십 년을 같이 살고도, 그렇게 신혼 때 같어?        나는 우리 죽은 마누라랑 60 넘은 이후로는 같이 자지도 않았어."
302,6,아 스트레스 받아. 나가나가.
303,6,그러니까.. 목줄이 없으니까.. 어떻게 할 줄 모르고.. 그냥 호수 쪽으로 막 뛰어갔다는데...
304,1,서양화 전공 했댔지?
305,6,야. 그거 공용 드라이브에 올라와 있잖아.
306,4,아닐거야. 어디서 잘못 묻은 거겠지.
307,3,거지냐?
308,6,뭐가 위험해 도로에 널린 게 스쿠터잖어.
309,5,그래?
310,7,응. 이리줘.
311,6,이번에 또 가면 애들이 놀릴까봐.
312,5,오… 니 행동력이 친가 쪽에서 왔나 보다. 근데 왜? 내용이 별로야?
313,5,진호는 책상도 더럽더라..
314,5,트림?
315,0,내가 지금 소리를 안 지르게 생겼어!
316,4,그래서 그거 물어주느라 돈이 꽤 나왔어.
317,5,한… 삼백만원 넘을 거 같은데요?
318,1,나는 여기 이거 다 필요 없어.
319,4,원래 나이들면 날씨에 영향을 많이 받아.
320,6,아이고 피곤하다… 할머니 여기 파스 좀 붙여주면 안돼?
321,5,어 설거지… 어.… 소라야.
322,7," 선배 일 년동안 고생 많으셨습니다.  오늘 선배가 아는 문제만 나오길, 찍기신까지 따라주길 기도하고 있겠습니다."
323,4,"네.   제가 자주 찾아뵀어야 하는데, 많이 못 와서 죄송해요."
324,6,그럼 어떡해. 기다려야지.
325,4,"세형아, 내 얘기 좀 들어 줘."
326,4,아니요… 해 놓을 건데…
327,1,그래도 당장 큰 문제가 있는 건 아니라니까...
328,1,그럼 형은 이제 뭐 할 거에요? 죽을 거에요?
329,1,아 버스정류장에서 왼쪽 길 말고 오른쪽 길? 나는 지금 왼쪽으로 온건데.
330,0,너는 맨날 그렇게 나한테 안 좋은 소리만 하냐? 나도 의지 강해. 그러니까 너랑 지금 한 집에서 이렇게 살고 있는거지
331,5, 아! 뭐야!
332,4,그치? 나 감동받아서 울었잖냐. 보면서 옛날 생각도 좀 나고.
333,7,"엄마가 전에 그랬잖아, 나는 똑똑한데 공부를 안하는 거라고. 하면 잘한다고 그랬잖아."
334,5,왜? 갑자기?
335,4,우리 유치원 다니는 지훈이 있잖아.
336,0,귀신은 무슨 귀신이에요. 사장님 저기 시내 대형서점에서 유명한 블랙고객이라던데요? 저도 다 알아요.
337,5,네… 아버지 뵌지도 너무 오래돼서 이참에 한국에 좀 오래 있으려고요.
338,5,뭐어? 뭐가 그렇게 비싸?
339,5, 무슨 말이야?
340,6,숙이가 서울에서 사왔지. 백화점 옷이라더라.
341,2,"그래, 아무래도 우리가 이공계관련 수업에 있어서는 좀.. 특화되어 있는 편은 아니니까."
342,1,"삼촌, 아이스크림 사다가 냉장고에 넣어 놨어요."
343,1,삼촌. 삼촌은 임신했어요?
344,0,"네. 걔 엄청 예쁘거든요.  완전 내 이상형인데.. 전 걔가 예뻐서 좋다 그랬는데, 걘 제가 못생겨서 싫대요."
345,5,도진이 너 방과 후 수업 신청 했냐?
346,1,"평소에는 때려 부수고 싶어도, 못 때려부수는게 너무 많잖아."
347,7,훈아 누나 오늘 입은 옷 어때
348,4,섭섭하다뇨. 지금 제 상황에 감지덕지죠. 진짜 너무 감사해요 매형. 
349,5,왜?
350,7,어. 그래서 클럽에 갔지.
351,7,진짜 신기하다. 얘는 어떻게 아버지 어렸을 때를 닮냐.         형은 아버지랑 진짜 하나도 안 닮았는데.
352,7,지금 쓰고 있는 수채화 느낌이 좋아? 아니면 더 쨍하게 포스터 컬러로 칠해볼까?
353,5,무슨 타이밍?
354,0,친구는 병원에서 그 고생을 하고 있는데! 너는 집에가서 쉴 생각만 해!!
355,2,아니… 근데 왜 화를 내고 그래 아빠?
356,0,"아니 글쎄, 다르다니깨."
357,7,"응, 여러 가지 장난감들이 나와서 막 움직여."
358,1,같은 업계 사람이랑 결혼하면 좋으려나 .
359,5,하나도 없어?
360,4,여기 집 냄새인가보다.
361,1,뭐가.. 얼른 공부 시작하자.
362,5,"뭘 그렇게 봐, 지은아?"
363,6,아.. 저 진짜 괜찮은데...
364,3,태권도 배우면 아무것도 안 무서워져요? 말도 안돼요!
365,1,"너무 자책하지 말고, 계속 이야기해 보자."
366,2,"으이구 너도 술도 좀 줄이고, 담배도 끊고, 운동도 좀 하고 그래!"
367,7,"자, 지은아, 이것 좀 마셔라."
368,5,뭐야. 여자친구는 아직 결혼 생각 없대?
369,6,집에 오면 피곤해서 까먹게 되는 거 같아.
370,1,그랬나… 시간이 그렇게 흐른 줄도 몰랐네... 우리 아들… 잘 지냈니?
371,7,그럼. 알 지에 빛날 율이지.
372,7,감사합니다 형님.
373,2,‘알바나라’에 시급 9천원 적혀있던데 아닌가요?
374,1,음… 그렇겠다... 좀 섬뜩하긴 할거 같아. 내가 꿈을 좀 길게 꾸나? 많이 무서워?
375,5,뭐라고?
376,5,야단 났네. 야단 났어…
377,4, 미안해.
378,4,"에이 설마. 운동부 애들은 선배들한테 맞는다고 하던데, 그래도 방송부 선배들은 점잖은 편이니까."
379,3,"그 나이 먹고도 그짓말이랑 참말을 구별을 못하나부지? 김씨가, 사람 좋을라고 한 말이지, 그걸 또 고대로 믿네. 푼수떼기 할망구."
380,3, 얘가 왜 이래...?
381,6,걔는 유전자가 다른가보지.
382,5,뭐하시게요?
383,1,그게 정말 가능해요?
384,5,회사 진짜 재밌어요?
385,7, 어.
386,7,"살다보면, 내 마음이랑 친구 마음이 같지 않을 수도 있어. 그럴 때는 내 생각만 하지 말고 친구 마음은 이렇겠구나, 생각해보고 행동을 해야돼. 알겠어?"
387,1,요즘 ‘SNS에서 [몽땅구이 축제] 이야기 하는 사람이 많다. 그래서 전년에 비해 방문객이 많을 것 같다.’ 같은 것들?
388,6,베란다에 있는 박스에 든 거 뭐야?
389,7,저는 마트에서 일 하고 싶어요.
390,4,아빠…
391,7,"아니아니 선생님은 나 배 아픈 거 모르고, 수업에 집중 안 하는 줄 알고."
392,6,그래. 이렇게 가만히 있으면 더운 줄을 모르겠어.
393,6,"아, 그렇겠네요. 그럼. 다음에 혹시 누나랑 연락 되면, 편하게 제 번호 알려 주세요."
394,4,자식 가진 부모 마음이야.. 다 이해가 되니까 그렇지… 너도 꼭 건강해야 해… 부탁한다…
395,5,손을 잡았다고?
396,7,아 할머니! 나 이제 안그런다니까!
397,3,"누나, 이건 좀 아니죠…"
398,7,이야. 너도 그걸 기억 하는구나.
399,2,네.. 저도 이제 그런 고민을 좀 할 때가 된 것 같아요.
400,1,너도 퇴직하면 나 있는 곳으로 와.
401,5, 응? 누구야?
402,1,갑자기 왜 돈 얘기야? 언니 나한테 돈 꾸려고..?
403,4,그럼요. 세살 버릇이 여든 안 가요? 나이 들어도 똑같지. 제가 어머니 덕분에 버틴 거에요. 그 인간만 봤으면 이미 옛날에 떠났지.
404,6,"사람들이 다 너를 알아보니까. 그런데 갈 수가 없지.        나중에 여자친구가 생겨도, 사람들이 다 관심을 가져서       비밀로 사겨야 할걸?"
405,2,우리 학교에 동상이 있거든?
